olid,oclc,title,first_name,last_name,pages,year,genre,descr
OL24373231M,560251531,The Sound and The Fury,William,Faulkner,427,1956,Fiction,"""The story concerns various members of a Southern family, once wealthy landowners but now struggling to maintain their reputation."""
OL25954563M,123113448,Love in the Time of Cholera,Gabriel,Garcia Marquez,423,1985,Fiction,"""Set on the Caribbean coast of South America, this love story brings together Fermina Daza, her distinguished husband, and a man who has secretly loved her for more than fifty years."""
OL31664856M,1152056839,Home Body,Rupi,Kaur,188,2020,Poetry,"""Home body is a collection of raw, honest conversations with oneself - reminding readers to fill up on love, acceptance, community, family, and embrace change."""
OL24244505M,38994823,Killing Floor,Lee,Child,419,1997,Mystery Fiction,"""Jack Reacher, an ex-military policeman, is passing through the town of Margarve, Georgia, when he is accused of murder, and must somehow find the real killer and prove his innocence--with virtually the whole town against him."""
OL32739720M,1273680237,The Last Rose of Shanghai,Weina,Dai Randel,412,2021,Historical Fiction,"""As the war escalates, Aiyi and Ernest find themselves torn apart, and their choices between love and survival grow more desperate."""
OL25431390M,822028608,Steelheart,Brandon,Sanderson,386,2013,Young Adult Fiction,"""At age eight, David watched as his father was killed by an Epic, a human with superhuman powers, and now, ten years later, he joins the Reckoners--the only people who are trying to kill the Epics and end their tyranny."""
OL26855580M,939706285,Scythe,Neal,Shusterman,433,2016,Young Adult Fiction,"""Citra and Rowan are teenagers who have been selected to be scythe's apprentices, and despite wanting nothing to do with the vocation they must learn the art of killing and come to understand the necessity of what they do."""
OL781338M,32511029,The Makioka Sisters,Junichiro,Tanizaki,520,1946,Fiction,"""Tanizaki's masterpiece is the story of four sisters, and the declining fortunes of a traditional Japanese family. It is a loving and nostalgic recreation of the sumptuous, intricate upper-class life of Osaka immediately before World War Two."""
OL3368289W,370521214,Where the Sidewalk Ends,Shel,Silverstein,183,1974,Childrens Poetry,"""A boy who turns into a TV set and a girl who eats a whale are only two of the characters in a collection of humorous poetry illustrated with the author's own drawings."""
OL29372941M,925158219,Kindred,Octavia,Butler,304,1979,Fiction,"""Dana, a modern black woman, is celebrating her twenty-sixth birthday with her new husband when she is snatched abruptly from her home in California and transported to the antebellum South. Rufus, the white son of a plantation owner, is drowning, and Dana has been summoned to save him. Dana is drawn back repeatedly through time to the slave quarters, and each time the stay grows longer, more arduous, and more dangerous until it is uncertain whether or not Dana’s life will end, long before it has a chance to begin."""
OL27037938M,46986322,The Lord of the Rings,J.R.R.,Tolkien,1168,1954,Fantasy,"""The Lord of the Rings tells of the great quest undertaken by Frodo and the Fellowship of the Ring: Gandalf the Wizared; the hobbits Merry, Pippin, and Sam; Gimli the Dwarf; Legolas the Elf; Boromir of Gondor; and a tall, mysterious stranger called Strider."""
OL32244937M,841198242,One Summer,Bill,Bryson,544,2013,Non-Fiction,"""Let our favourite writer of narrative non-fiction take you back to a summer when America came of age and changed the world for ever."""
